german,english,part_of_speech,gender,plural,level,frequency_rank
verkaufen,to sell,verb,,,A1,248
vermieten,to rent out,verb,,,A1,249
Verwandte,relatives,noun,,Verwandte,A1,250
vielleicht,perhaps,adjective,,,A1,251
von,of,preposition,,,A1,252
vor,before,preposition,,,A1,253
Vorname,first name,noun,der,Vornamen,A1,254
wandern,to hike,verb,,,A1,255
weiblich,feminine,adjective,,,A1,256
weit,far,adjective,,,A1,257
werden,to become,verb,,,A1,258
wichtig,important,adjective,,,A1,259
wunderbar,wonderful,adjective,,,A1,260
Zeitung,newspaper,noun,die,Zeitungen,A1,261
Zimmer,room,noun,das,Zimmer,A1,262
Zoll,customs,noun,der,Zölle,A1,263
zu,to,preposition,,,A1,264
zufrieden,content,verb,,,A1,265
zwischen,between,preposition,,,A1,266
bung,bung,adjective,,,A1,267
systeme,systeme,adjective,,,A1,268
schieden,schieden,verb,,,A1,269
erschließbar,erschließbar,adjective,,,A1,270
zusammengestellt,zusammengestellt,adjective,,,A1,271
umwelt,umwelt,adjective,,,A1,272
wortschatz,wortschatz,adjective,,,A1,273
chen,chen,verb,,,A1,274
unterschieden,unterschieden,verb,,,A1,275
aufgelistet,aufgelistet,adjective,,,A1,276
dritte,dritte,adjective,,,A1,277
wortgruppenliste,wortgruppenliste,adjective,,,A1,278
eins,eins,adjective,,,A1,279
zwei,zwei,adjective,,,A1,280
drei,drei,adjective,,,A1,281
vier,vier,adjective,,,A1,282
fünf,fünf,adjective,,,A1,283
sechs,sechs,adjective,,,A1,284
sieben,sieben,verb,,,A1,285
acht,acht,adjective,,,A1,286
neun,neun,adjective,,,A1,287
zehn,zehn,adjective,,,A1,288
zwölf,zwölf,adjective,,,A1,289
dreizehn,dreizehn,adjective,,,A1,290
vierzehn,vierzehn,adjective,,,A1,291
fünfzehn,fünfzehn,adjective,,,A1,292
sechzehn,sechzehn,adjective,,,A1,293
siebzehn,siebzehn,adjective,,,A1,294
achtzehn,achtzehn,adjective,,,A1,295
neunzehn,neunzehn,adjective,,,A1,296
zwanzig,zwanzig,adjective,,,A1,297
einundzwanzig,einundzwanzig,adjective,,,A1,298
dreißig,dreißig,adjective,,,A1,299
vierzig,vierzig,adjective,,,A1,300
fünfzig,fünfzig,adjective,,,A1,301
sechzig,sechzig,adjective,,,A1,302
siebzig,siebzig,adjective,,,A1,303
achtzig,achtzig,adjective,,,A1,304
neunzig,neunzig,adjective,,,A1,305
hunderteins,hunderteins,adjective,,,A1,306
zweihundert,zweihundert,adjective,,,A1,307
zweite,zweite,adjective,,,A1,308
vierte,vierte,adjective,,,A1,309
uhrzeit,uhrzeit,adjective,,,A1,310
null,null,adjective,,,A1,311
vierundzwanzig,vierundzwanzig,adjective,,,A1,312
zeitmaße,zeitmaße,adjective,,,A1,313
am,am,adjective,,,A1,314
währungen,währungen,verb,,,A1,315
deutsch,deutsch,adjective,,,A1,316
europäisch,europäisch,adjective,,,A1,317
ankreuzen,ankreuzen,verb,,,A1,318
wortliste,wortliste,adjective,,,A1,319
sich,sich,adjective,,,A1,320
Baby,Baby,noun,das,-s,A1,321
beide,beide,adjective,,,A1,322
besetzt,besetzt,adjective,,,A1,323
besser,besser,adjective,,,A1,324
best,best,adjective,,,A1,325
bisschen,bisschen,verb,,,A1,326
dich,dich,pronoun,,,A1,327
dies,dies,adjective,,,A1,328
Disco,Disco,noun,die,,A1,329
E-Mail,E-Mail,noun,die,-s,A1,330
er,er,pronoun,,,A1,331
Erwachsene,Erwachsene,noun,der,-n,A1,332
euer,euer,pronoun,,,A1,333
Fisch,Fisch,noun,der,-e,A1,334
früher,früher,adjective,,,A1,335
geboren,geboren,verb,,,A1,336
gestorben,gestorben,verb,,,A1,337
hier,hier,adverb,,,A1,338
ich,ich,pronoun,,,A1,339
kein,kein,adjective,,,A1,340
letzt,letzt,adjective,,,A1,341
mein,mein,pronoun,,,A1,342
morgen,morgen,verb,,,A1,343
geöffnet,geöffnet,adjective,,,A1,344
Partnerin,Partnerin,noun,die,-nen,A1,345
Rezeption,Rezeption,noun,die,,A1,346
später,später,adjective,,,A1,347
Taxi,Taxi,noun,das,-s,A1,348
tschüss,tschüss,adjective,,,A1,349
unser,unser,pronoun,,,A1,350
viel,viel,adjective,,,A1,351
weiter,weiter,adjective,,,A1,352
wenig,wenig,adjective,,,A1,353
wir,wir,pronoun,,,A1,354
zurück,zurück,adjective,,,A1,355
urteilen,urteilen,verb,,,A1,356
sche,sche,adjective,,,A1,357
nikative,nikative,adjective,,,A1,358
europäischen,europäischen,verb,,,A1,359
objective,objective,adjective,,,A1,360
beachten,to consider,verb,,,A1,361
Schüler,student,noun,der,Schüler,A1,362
markieren,to mark,verb,,,A1,363
Orange,Orange (the fruit or the color),noun,die,Orangen,A1,364
Angebot,offer,noun,das,Angebote,A1,365
ändern,to change,verb,,,A1,366
anders,differently,adjective,,,A1,367
Anfang,beginning,noun,der,Anfänge,A1,368
Anschluss,Connection,noun,der,Anschlüsse,A1,369
Antwort,answer,noun,die,Antworten,A1,370
Anzug,Suit,noun,der,Anzüge,A1,371
Apfel,apple,noun,der,Äpfel,A1,372
Apotheke,pharmacy,noun,die,Apotheken,A1,373
Ahnung,intuition,noun,die,Ahnungen,A1,374
aktiv,active,adjective,,,A1,375
aktuell,current,adjective,,,A1,376
Ampel,traffic light,noun,die,Ampeln,A1,377
Ausflug,excursion,noun,der,Ausflüge,A1,378
ausgeben,to spend,verb,,,A1,379
außer,outside,adjective,,,A1,380
außerhalb,outside,adjective,,,A1,381
Ausweis,identity card,noun,der,Ausweise,A1,382
Autobahn,highway,noun,,,A1,383
Arbeit,work,noun,die,Arbeiten,A1,384
Artikel,article (a written piece or a commodity for sale),noun,der,Artikel,A1,385
aufräumen,to clean up,verb,,,A1,386
Aufzug,elevator,noun,der,Aufzüge,A1,387
beenden,to end,verb,,,A1,388
begründen,to justify,verb,,,A1,389
beliebt,popular,adjective,,,A1,390
bequem,comfortable,adjective,,,A1,391
beraten,to advise,verb,,,A1,392
Berg,mountain,noun,der,Berge,A1,393
berichten,to report,verb,,,A1,394
berühmt,famous,adjective,,,A1,395
Bescheid,notification,noun,der,Bescheide,A1,396
Automat,vending machine or automaton,noun,der,Automaten,A1,397
backen,to bake,verb,,,A1,398
Bäckerei,bakery,noun,die,Bäckereien,A1,399
Bahn,to clear a path,verb,,,A1,400
Bahnsteig,platform (at a train station),noun,der,Bahnsteige,A1,401
Ball,ball,noun,der,Bälle,A1,402
Bank,bank (financial institution),noun,die,Banken,A1,403
Basketball,basketball (the sport or the ball used in the sport),noun,der,Basketbälle,A1,404
basteln,to tinker,verb,,,A1,405
Bauch,belly,noun,der,Bäuche,A1,406
bauen,to build,verb,,,A1,407
Baum,tree,noun,der,Bäume,A1,408
Baustelle,construction site,noun,die,Baustellen,A1,409
blond,blonde,adjective,,,A1,410
Bluse,blouse,noun,die,Blusen,A1,411
Bohne,bean (a type of legume,noun,die,Bohnen,A1,412
brauchen,to need,verb,,,A1,413
Brot,bread,noun,das,Brote,A1,414
Brücke,bridge,noun,die,Brücken,A1,415
buchen,to book,verb,,,A1,416
bunt,colorful,adjective,,,A1,417
Büro,office,noun,das,Büros,A1,418
besonders,especially,adjective,,,A1,419
bestätigen,to confirm,verb,,,A1,420
Besuch,visit,noun,der,Besuche,A1,421
bewölkt,cloudy,adjective,,,A1,422
Wolke,cloud,noun,die,Wolken,A1,423
Bier,Beer,noun,das,Biere,A1,424
Bitte,request,noun,die,Bitten,A1,425
dauern,to last,verb,,,A1,426
denken,to think,verb,,,A1,427
deshalb,therefore,adjective,,,A1,428
dick,thick,adjective,,,A1,429
direkt,direct,adjective,,,A1,430
diskutieren,to discuss,verb,,,A1,431
doch,however,conjunction,,,A1,432
dringend,urgent/urgently,adjective,,,A1,433
drüben,on the other side,verb,,,A1,434
Café,café,noun,das,Cafés,A1,435
Cafeteria,cafeteria,noun,die,Cafeterien,A1,436
Creme,cream (a rich,noun,die,Cremes,A1,437
damals,at that time,adjective,,,A1,438
Dame,lady,noun,die,Damen,A1,439
dass,that,conjunction,,,A1,440
Zentrum,center,noun,das,Zentren,A1,441
einverstanden,in agreement,verb,,,A1,442
einziehen,to move in,verb,,,A1,443
Ende,end,noun,das,Enden,A1,444
Drucker,printer (a device that produces printed output),noun,der,Drucker,A1,445
dumm,stupid,adjective,,,A1,446
dunkel,dark,adjective,,,A1,447
dünn,thin,adjective,,,A1,448
Dusche,shower,noun,die,Duschen,A1,449
egal,regardless,adjective,,,A1,450
eigentlich,actually,adjective,,,A1,451
Eingang,entrance,noun,der,Eingänge,A1,452
fast,almost,adjective,,,A1,453
faul,lazy,adjective,,,A1,454
fernsehen,to watch television,verb,,,A1,455
Fernseher,television set,noun,der,Fernseher,A1,456
Fett,fat,noun,das,Fette,A1,457
Firma,company,noun,die,Firmen,A1,458
Erfahrung,experience,noun,die,Erfahrungen,A1,459
erreichen,to reach,verb,,,A1,460
erst,only,adjective,,,A1,461
essen,to eat,verb,,,A1,462
Abfahrt,departure,noun,die,Abfahrten,A1,463
fallen,to fall,verb,,,A1,464
Schein,appearance,noun,,,A1,465
furchtbar,terrible/awful,adjective,,,A1,466
ganz,whole,adjective,,,A1,467
Garage,garage,noun,die,Garagen,A1,468
Garten,garden,verb,,,A1,469
geehrt,honored,adjective,,,A1,470
gefährlich,dangerous,adjective,,,A1,471
fleißig,diligent,adjective,,,A1,472
Flohmarkt,Flea market,noun,der,Flohmärkte,A1,473
Flug,flight,noun,der,Flüge,A1,474
Flugzeug,airplane,noun,das,Flugzeuge,A1,475
Fluss,river,noun,der,Flüsse,A1,476
fotografieren,to take a photograph,verb,,,A1,477
Frage,question,noun,die,Fragen,A1,478
fragen,to ask,verb,,,A1,479
freiwillig,voluntary,adjective,,,A1,480
freundlich,friendly,adjective,,,A1,481
frisch,fresh,adjective,,,A1,482
froh,happy,adjective,,,A1,483
früh,early,adjective,,,A1,484
gewinnen,to win,verb,,,A1,485
Gewitter,thunderstorm,noun,das,Gewitter,A1,486
Gitarre,guitar,noun,die,Gitarren,A1,487
Gleis,track or railway track,noun,das,Gleise,A1,488
Wunsch,wish,noun,der,Wünsche,A1,489
Gruppe,group,noun,die,Gruppen,A1,490
Gegenteil,opposite,noun,das,Gegenteile,A1,491
gegenüber,opposite,adjective,,,A1,492
Geldbörse,wallet,noun,die,Geldbörsen,A1,493
genau,exactly,adjective,,,A1,494
genug,enough,adjective,,,A1,495
Gerät,device,noun,das,Geräte,A1,496
Gericht,dish,noun,das,Gerichte,A1,497
Geschäft,business,noun,das,Geschäfte,A1,498
Gesicht,face,noun,das,Gesichter,A1,499
Gespräch,conversation,noun,das,Gespräche,A1,500
beachten,to consider,verb,,,A2,501
Schüler,student,noun,der,Schüler,A2,502
markieren,to mark,verb,,,A2,503
ledig,unmarried,adjective,,,A2,504
verheiratet,married,adjective,,,A2,505
Orange,Orange (the fruit or the color),noun,die,Orangen,A2,506
um,around,preposition,,,A2,507
einmal,once,adjective,,,A2,508
Angebot,offer,noun,das,Angebote,A2,509
ändern,to change,verb,,,A2,510
anders,differently,adjective,,,A2,511
anfangen,to start,verb,,,A2,512
Anfang,beginning,noun,der,Anfänge,A2,513
Anruf,a phone call,noun,der,Anrufe,A2,514
Anschluss,Connection,noun,der,Anschlüsse,A2,515
antworten,to answer,verb,,,A2,516
Antwort,answer,noun,die,Antworten,A2,517
Anzeige,Advertisement,noun,die,Anzeigen,A2,518
Anzug,Suit,noun,der,Anzüge,A2,519
Apfel,apple,noun,der,Äpfel,A2,520
Apotheke,pharmacy,noun,die,Apotheken,A2,521
ab,away from or off,preposition,,,A2,522
aber,but,conjunction,,,A2,523
abgeben,to hand in,verb,,,A2,524
Ahnung,intuition,noun,die,Ahnungen,A2,525
aktiv,active,adjective,,,A2,526
aktuell,current,adjective,,,A2,527
allein,to leave alone,verb,,,A2,528
also,therefore,adjective,,,A2,529
Ampel,traffic light,noun,die,Ampeln,A2,530
an,at,preposition,,,A2,531
aus,out of,preposition,,,A2,532
Ausflug,excursion,noun,der,Ausflüge,A2,533
ausgeben,to spend,verb,,,A2,534
aussehen,to look,verb,,,A2,535
außer,outside,adjective,,,A2,536
außerhalb,outside,adjective,,,A2,537
Ausweis,identity card,noun,der,Ausweise,A2,538
Auto,car,noun,das,Autos,A2,539
Autobahn,highway,noun,,,A2,540
Arbeit,work,noun,die,Arbeiten,A2,541
Artikel,article (a written piece or a commodity for sale),noun,der,Artikel,A2,542
auch,also,adjective,,,A2,543
aufräumen,to clean up,verb,,,A2,544
aufstehen,to stand up,verb,,,A2,545
Aufzug,elevator,noun,der,Aufzüge,A2,546
Auge,eye (organ of sight),noun,das,Augen,A2,547
beenden,to end,verb,,,A2,548
beginnen,to begin,verb,,,A2,549
begründen,to justify,verb,,,A2,550
bei,at,preposition,,,A2,551
Bein,leg,noun,,,A2,552
bekannt,well-known,adjective,,,A2,553
beliebt,popular,adjective,,,A2,554
bequem,comfortable,adjective,,,A2,555
beraten,to advise,verb,,,A2,556
Berg,mountain,noun,der,Berge,A2,557
berichten,to report,verb,,,A2,558
berühmt,famous,adjective,,,A2,559
Bescheid,notification,noun,der,Bescheide,A2,560
Automat,vending machine or automaton,noun,der,Automaten,A2,561
backen,to bake,verb,,,A2,562
Bäckerei,bakery,noun,die,Bäckereien,A2,563
baden,to bathe,verb,,,A2,564
Bahn,to clear a path,verb,,,A2,565
Bahnsteig,platform (at a train station),noun,der,Bahnsteige,A2,566
bald,soon,adjective,,,A2,567
Balkon,balcony,noun,,,A2,568
Ball,ball,noun,der,Bälle,A2,569
Bank,bank (financial institution),noun,die,Banken,A2,570
Basketball,basketball (the sport or the ball used in the sport),noun,der,Basketbälle,A2,571
basteln,to tinker,verb,,,A2,572
Bauch,belly,noun,der,Bäuche,A2,573
bauen,to build,verb,,,A2,574
Baum,tree,noun,der,Bäume,A2,575
Baustelle,construction site,noun,die,Baustellen,A2,576
bleiben,to stay,verb,,,A2,577
blond,blonde,adjective,,,A2,578
Bluse,blouse,noun,die,Blusen,A2,579
Bohne,bean (a type of legume,noun,die,Bohnen,A2,580
böse,evil,adjective,,,A2,581
brauchen,to need,verb,,,A2,582
Brot,bread,noun,das,Brote,A2,583
Brücke,bridge,noun,die,Brücken,A2,584
buchen,to book,verb,,,A2,585
Buchstabe,letter (a single character or symbol in an alphabet),noun,der,Buchstaben,A2,586
bunt,colorful,adjective,,,A2,587
Büro,office,noun,das,Büros,A2,588
besichtigen,to inspect,verb,,,A2,589
besonders,especially,adjective,,,A2,590
bestätigen,to confirm,verb,,,A2,591
bestellen,to order,verb,,,A2,592
Besuch,visit,noun,der,Besuche,A2,593
Bett,bed,noun,das,Betten,A2,594
bewölkt,cloudy,adjective,,,A2,595
Wolke,cloud,noun,die,Wolken,A2,596
Bier,Beer,noun,das,Biere,A2,597
Bitte,request,noun,die,Bitten,A2,598
bitter,bitter,adjective,,,A2,599
dauern,to last,verb,,,A2,600
denken,to think,verb,,,A2,601
denn,for,verb,,,A2,602
deshalb,therefore,adjective,,,A2,603
dick,thick,adjective,,,A2,604
direkt,direct,adjective,,,A2,605
diskutieren,to discuss,verb,,,A2,606
doch,however,conjunction,,,A2,607
Dorf,village,noun,das,Dörfer,A2,608
dort,there,adverb,,,A2,609
dringend,urgent/urgently,adjective,,,A2,610
drüben,on the other side,verb,,,A2,611
drücken,to press,verb,,,A2,612
Café,café,noun,das,Cafés,A2,613
Cafeteria,cafeteria,noun,die,Cafeterien,A2,614
Creme,cream (a rich,noun,die,Cremes,A2,615
da,there,adjective,,,A2,616
damals,at that time,adjective,,,A2,617
Dame,lady,noun,die,Damen,A2,618
daneben,next to it,verb,,,A2,619
danken,to thank,verb,,,A2,620
dann,then,verb,,,A2,621
dass,that,conjunction,,,A2,622
Zentrum,center,noun,das,Zentren,A2,623
einsteigen,to get in,verb,,,A2,624
Eintritt,admission,noun,der,Eintritte,A2,625
einverstanden,in agreement,verb,,,A2,626
sein,to be,verb,,,A2,627
einziehen,to move in,verb,,,A2,628
Empfänger,recipient,noun,der,Empfänger,A2,629
Ende,end,noun,das,Enden,A2,630
enden,to end,verb,,,A2,631
Drucker,printer (a device that produces printed output),noun,der,Drucker,A2,632
dumm,stupid,adjective,,,A2,633
dunkel,dark,adjective,,,A2,634
dünn,thin,adjective,,,A2,635
durch,through,preposition,,,A2,636
dürfen,to be allowed to,verb,,,A2,637
Dusche,shower,noun,die,Duschen,A2,638
Ecke,corner,noun,die,Ecken,A2,639
egal,regardless,adjective,,,A2,640
eigentlich,actually,adjective,,,A2,641
einfach,simple,adjective,,,A2,642
Eingang,entrance,noun,der,Eingänge,A2,643
einkaufen,to shop,verb,,,A2,644
falsch,wrong,adjective,,,A2,645
Familie,family,noun,die,Familien,A2,646
Name,name,noun,der,Namen,A2,647
Farbe,color,noun,die,Farben,A2,648
fast,almost,adjective,,,A2,649
faul,lazy,adjective,,,A2,650
fehlen,to be missing,verb,,,A2,651
Fehler,mistake,noun,der,Fehler,A2,652
feiern,to celebrate,verb,,,A2,653
fernsehen,to watch television,verb,,,A2,654
Fernseher,television set,noun,der,Fernseher,A2,655
Fett,fat,noun,das,Fette,A2,656
Film,film,noun,der,Filme,A2,657
finden,to find,verb,,,A2,658
Firma,company,noun,die,Firmen,A2,659
Erfahrung,experience,noun,die,Erfahrungen,A2,660
erlauben,to allow,verb,,,A2,661
erreichen,to reach,verb,,,A2,662
erst,only,adjective,,,A2,663
essen,to eat,verb,,,A2,664
Abfahrt,departure,noun,die,Abfahrten,A2,665
fallen,to fall,verb,,,A2,666
frühstücken,to have breakfast,verb,,,A2,667
Schein,appearance,noun,,,A2,668
Führung,leadership,noun,die,Führungen,A2,669
furchtbar,terrible/awful,adjective,,,A2,670
ganz,whole,adjective,,,A2,671
